,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,ateroesclerosis_tuning230,30.0,0.06665,0.12208,0.73817,0.73568,0.37613,0.58167,0.38347,1.4985,4.1523,1.5357,3.7906e-06,3.7906e-06,3.7906e-06
169,ateroesclerosis_tuning152,30.0,0.07168,0.11241,0.69899,0.68906,0.40428,0.58573,0.35488,1.5671,3.395,1.5407,2.9845e-06,2.9845e-06,2.9845e-06
170,ateroesclerosis_tuning127,30.0,0.0769,0.10726,0.55921,0.6797,0.41104,0.58223,0.3591,1.5267,3.1758,1.1534,3.5864e-06,3.5864e-06,3.5864e-06
171,ateroesclerosis_tuning98,30.0,0.0569,0.05911,0.78313,0.7161,0.38063,0.56726,0.37533,1.1805,2.0697,1.602,3.5716e-06,3.5716e-06,3.5716e-06
172,ateroesclerosis_tuning215,30.0,0.07234,0.11327,0.69902,0.65451,0.34347,0.53154,0.35019,1.4915,3.8292,1.495,3.5133e-06,3.5133e-06,3.5133e-06
173,ateroesclerosis_tuning40,30.0,0.08024,0.07722,0.72824,0.62791,0.30405,0.48842,0.32696,1.7742,2.8686,1.5621,4.242e-06,4.242e-06,4.242e-06
174,ateroesclerosis_tuning249,30.0,0.07744,0.12628,0.79276,0.68657,0.36261,0.56127,0.37486,1.4919,4.1908,1.57,3.5577e-06,3.5577e-06,3.5577e-06
175,ateroesclerosis_tuning124,30.0,0.0736,0.10125,0.54643,0.73904,0.41779,0.6004,0.36819,1.4926,3.0872,1.1341,3.9607e-06,3.9607e-06,3.9607e-06
176,ateroesclerosis_tuning4,30.0,0.08097,0.0812,0.65518,0.76667,0.38851,0.59274,0.36767,1.6168,2.8697,1.2921,3.783e-06,3.783e-06,3.783e-06
177,ateroesclerosis_tuning103,30.0,0.0794,0.09502,0.61287,0.67341,0.26239,0.50212,0.38013,1.694,3.5551,1.256,3.1384e-06,3.1384e-06,3.1384e-06
178,ateroesclerosis_tuning23,30.0,0.07482,0.08085,0.73315,0.78488,0.30405,0.56556,0.39641,1.5368,2.941,1.4472,3.8074e-06,3.8074e-06,3.8074e-06
179,ateroesclerosis_tuning178,30.0,0.0697,0.11646,0.6986,0.71838,0.33896,0.55551,0.37038,1.4619,3.9469,1.4046,3.5203e-06,3.5203e-06,3.5203e-06
180,ateroesclerosis_tuning22,30.0,0.08373,0.09285,0.77219,0.48696,0.31532,0.45915,0.32787,1.7653,3.2544,1.5901,3.9805e-06,3.9805e-06,3.9805e-06
181,ateroesclerosis_tuning121,30.0,0.07561,0.11205,0.56917,0.68831,0.29842,0.52654,0.37322,1.7041,4.0051,1.1875,4.0032e-06,4.0032e-06,4.0032e-06
182,ateroesclerosis_tuning203,30.0,0.0618,0.07999,0.66229,0.78528,0.28829,0.55991,0.39701,1.1827,3.0969,1.2413,3.5785e-06,3.5785e-06,3.5785e-06
