,Unnamed: 0,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
25,38,ateroesclerosis_tuning26,100.0,0.09082,0.11649,0.50417,0.5533,0.2356,0.33867,0.16865,2.161,4.3624,1.6109,0.00014984,0.00014984,0.00014984,0.29264,0.01358,0.01079,0.92376,0.00038,4.41384,0.84528,6.9799,0.50906,0.98382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,ateroesclerosis_tuning27,100.0,0.09415,0.10208,0.70538,0.53747,0.24448,0.32601,0.16957,2.3714,4.7232,2.2792,0.00013565,0.00013565,0.00013565,0.31917,0.01408,0.00939,0.89206,0.00037,3.95041,0.95,7.78703,0.46497,1.38628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,23,ateroesclerosis_tuning28,100.0,0.08682,0.11002,0.50261,0.46975,0.33583,0.412,0.21818,2.2142,4.0799,1.7006,0.00015294,0.00015294,0.00015294,0.32469,0.01288,0.01163,0.97372,0.00041,5.0,0.86026,6.97985,0.50101,0.98372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,ateroesclerosis_tuning29,100.0,0.08078,0.08594,0.66929,0.52843,0.23301,0.30949,0.16818,1.9893,5.0844,2.0657,0.00013746,0.00013746,0.00013746,0.30034,0.013,0.01033,0.88901,0.0004,4.50542,0.91553,7.1032,0.41268,1.32073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2,ateroesclerosis_tuning30,100.0,0.11959,0.15232,0.49843,0.51763,0.34855,0.39989,0.19909,2.0111,4.0764,1.6532,0.00015731,0.00015731,0.00015731,0.33462,0.01358,0.01134,0.92376,0.00044,4.79523,0.95,6.42635,0.50906,0.9571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,21,ateroesclerosis_tuning31,100.0,0.08461,0.10704,0.49669,0.56277,0.23124,0.33552,0.17013,2.0522,3.7691,1.5197,0.00016125,0.00016125,0.00016125,0.31586,0.01358,0.01163,0.9135,0.00038,4.41384,0.91292,6.97985,0.49301,0.97116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,43,ateroesclerosis_tuning32,100.0,0.09547,0.12957,0.50489,0.59072,0.30891,0.41223,0.21504,2.1735,5.9367,1.6138,0.00016501,0.00016501,0.00016501,0.34945,0.01422,0.01136,0.92331,0.0004,4.41384,0.88259,6.90272,0.53992,0.98372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,20,ateroesclerosis_tuning33,100.0,0.10818,0.13077,0.44628,0.57414,0.28861,0.39093,0.19852,2.2993,4.9626,1.4483,0.00014984,0.00014984,0.00014984,0.352,0.01358,0.01079,0.95104,0.00035,3.81069,0.91679,7.06193,0.50906,0.85908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,16,ateroesclerosis_tuning34,100.0,0.09413,0.12552,0.4962,0.47842,0.29347,0.4078,0.22073,2.2425,4.353,1.6189,0.0001751,0.0001751,0.0001751,0.30176,0.01422,0.01207,0.92668,0.00039,4.28352,0.87454,6.90272,0.53649,0.96966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,41,ateroesclerosis_tuning35,100.0,0.08535,0.1028,0.50629,0.51822,0.23497,0.32349,0.16621,2.0721,5.5495,1.6783,0.00018628,0.00018628,0.00018628,0.30234,0.01632,0.01117,0.89793,0.00048,5.0,0.95,6.2869,0.43786,0.98947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,13,ateroesclerosis_tuning36,100.0,0.12341,0.13322,0.60693,0.53604,0.27935,0.34157,0.16477,2.5528,5.4116,1.9057,0.00012072,0.00012072,0.00012072,0.31849,0.0139,0.00844,0.98,0.00035,3.46825,0.95,7.95151,0.50906,1.17199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4,ateroesclerosis_tuning37,100.0,0.10562,0.12885,0.44684,0.60232,0.26478,0.36327,0.19263,2.3798,5.4631,1.4282,0.00015212,0.00015212,0.00015212,0.28635,0.01365,0.0109,0.95325,0.00036,3.80154,0.92971,7.1011,0.50906,0.86152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
