fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.31933,2e-05,0.00625,0.79397,0.00048,3.27325,0.23378,3.79369,0.32334,1.42771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36105,2e-05,0.00593,0.7706,0.00052,4.05611,0.17992,3.79369,0.38979,2.02225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30057,2e-05,0.00553,0.7686,0.00055,3.13395,0.12592,3.79369,0.34028,2.08312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32489,2e-05,0.00405,0.76378,0.00048,3.62563,0.25688,3.62512,0.34028,2.21404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41262,2e-05,0.00649,0.83218,0.00049,3.43755,0.2387,4.85479,0.3459,1.94838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33556,2e-05,0.00658,0.83151,0.00044,3.43755,0.2234,4.85479,0.37332,1.94953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.405,2e-05,0.00593,0.77038,0.00046,3.60242,0.2073,4.01903,0.36598,2.00883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38545,2e-05,0.00558,0.80127,0.00044,4.31721,0.19817,4.10421,0.34476,1.67364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35669,2e-05,0.00661,0.76809,0.0005,3.33454,0.19817,4.26873,0.38633,1.94843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3374,2e-05,0.00569,0.77038,0.00049,2.84492,0.20951,3.98805,0.34633,2.03064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38563,2e-05,0.00631,0.7599,0.00047,3.60242,0.20134,4.32106,0.36598,2.00883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35559,2e-05,0.00661,0.8062,0.00054,3.85222,0.20512,5.06274,0.36317,2.39435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41527,2e-05,0.00685,0.76808,0.00049,3.33454,0.21008,4.26899,0.40379,2.00141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36321,2e-05,0.00593,0.7,0.00065,3.20272,0.18343,4.17154,0.35201,2.28614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3028,2e-05,0.00607,0.78818,0.00047,3.62563,0.2073,2.84286,0.36954,1.72162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31223,2e-05,0.00669,0.76262,0.00051,3.62563,0.2073,3.79369,0.38914,1.9556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38704,2e-05,0.00628,0.74267,0.00059,2.8709,0.19562,4.99917,0.38631,1.94838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40507,2e-05,0.00587,0.76958,0.00048,3.31916,0.16879,3.81149,0.344,1.80539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38921,2e-05,0.00661,0.76953,0.00047,3.35463,0.19909,4.35519,0.3947,1.94182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44586,2e-05,0.00662,0.77405,0.0005,4.22529,0.2073,4.05764,0.29409,2.33607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36162,2e-05,0.00629,0.75989,0.00056,3.71852,0.16076,4.09708,0.37797,2.42348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33469,2e-05,0.00697,0.76808,0.00049,3.47712,0.18434,4.30349,0.3923,2.05688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
