,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,ateroesclerosis_tuning95,100.0,0.02644,0.05459,0.84326,0.73225,0.40653,0.60028,0.36735,0.90668,2.6713,1.9702,1.1331e-07,1.1331e-07,1.1331e-07
48,ateroesclerosis_tuning118,100.0,0.02563,0.05667,0.95859,0.72082,0.35473,0.56904,0.36855,0.92161,2.7203,2.3458,1.263e-07,1.263e-07,1.263e-07
49,ateroesclerosis_tuning106,100.0,0.02555,0.05804,0.92071,0.73447,0.34265,0.54593,0.37334,0.86636,2.6178,2.1987,1.255e-07,1.255e-07,1.255e-07
50,ateroesclerosis_tuning48,100.0,0.02724,0.04913,0.98743,0.63847,0.43356,0.57829,0.34751,1.0088,2.2194,2.4928,1.2351e-07,1.2351e-07,1.2351e-07
51,ateroesclerosis_tuning33,100.0,0.0239,0.04819,0.9866,0.71663,0.39302,0.57676,0.37029,0.80656,2.4153,2.1808,1.363e-07,1.363e-07,1.363e-07
52,ateroesclerosis_tuning31,100.0,0.02882,0.05378,1.179,0.72748,0.36374,0.56346,0.34257,0.97831,2.6595,2.8516,1.307e-07,1.307e-07,1.307e-07
53,ateroesclerosis_tuning82,100.0,0.03003,0.05166,1.0139,0.83927,0.27365,0.50656,0.32147,0.99761,2.5875,2.3748,1.347e-07,1.347e-07,1.347e-07
54,ateroesclerosis_tuning85,100.0,0.02732,0.05931,0.92377,0.62689,0.37275,0.53698,0.32698,0.97953,2.6317,2.4261,1.2391e-07,1.2391e-07,1.2391e-07
55,ateroesclerosis_tuning117,100.0,0.02668,0.05921,0.91058,0.65523,0.45158,0.6055,0.32823,0.94439,2.6148,2.2389,1.255e-07,1.255e-07,1.255e-07
56,ateroesclerosis_tuning68,100.0,0.0266,0.05737,0.95946,0.64173,0.36712,0.5274,0.3244,0.92651,2.7784,2.4075,1.245e-07,1.245e-07,1.245e-07
57,ateroesclerosis_tuning53,100.0,0.02571,0.05692,0.99231,0.67975,0.3705,0.55719,0.33881,0.98273,2.9706,2.592,1.2071e-07,1.2071e-07,1.2071e-07
58,ateroesclerosis_tuning86,100.0,0.02783,0.03981,1.1373,0.82308,0.36149,0.60825,0.38364,0.94365,1.9674,2.7735,1.431e-07,1.431e-07,1.431e-07
59,ateroesclerosis_tuning102,100.0,0.02788,0.05519,0.93328,0.7168,0.41329,0.59464,0.36164,1.0147,2.5537,2.3016,1.305e-07,1.305e-07,1.305e-07
60,ateroesclerosis_tuning100,100.0,0.02646,0.05811,0.9148,0.64668,0.44932,0.57078,0.31078,0.99234,2.5885,2.3256,1.253e-07,1.253e-07,1.253e-07
61,ateroesclerosis_tuning13,100.0,0.02547,0.04919,1.0117,0.62884,0.29955,0.4913,0.30971,0.96668,2.5089,2.6659,1.1551e-07,1.1551e-07,1.1551e-07
62,ateroesclerosis_tuning72,100.0,0.02721,0.051,0.96481,0.68119,0.33446,0.52694,0.32449,0.97633,2.5028,2.5916,1.2391e-07,1.2391e-07,1.2391e-07
63,ateroesclerosis_tuning28,100.0,0.02626,0.04923,0.87717,0.70307,0.41329,0.57592,0.33112,0.98163,2.2847,2.3045,1.2231e-07,1.2231e-07,1.2231e-07
64,ateroesclerosis_tuning58,100.0,0.02653,0.05838,0.91564,0.71757,0.49212,0.63611,0.3646,0.93908,2.3789,2.3732,1.255e-07,1.255e-07,1.255e-07
65,ateroesclerosis_tuning49,100.0,0.02818,0.04379,1.1758,0.63676,0.3277,0.5141,0.32533,0.95488,2.3533,2.6336,1.377e-07,1.377e-07,1.377e-07
66,ateroesclerosis_tuning62,100.0,0.02759,0.04282,1.0355,0.77783,0.3785,0.56425,0.37584,0.9254,2.023,2.4109,1.373e-07,1.373e-07,1.373e-07
67,ateroesclerosis_tuning20,100.0,0.02816,0.04968,0.98832,0.59289,0.33784,0.49343,0.33346,1.1359,2.4938,2.5566,1.1871e-07,1.1871e-07,1.1871e-07
68,ateroesclerosis_tuning43,100.0,0.03313,0.06278,1.0518,0.6659,0.3277,0.51451,0.32793,1.1319,3.1475,2.6286,1.507e-07,1.507e-07,1.507e-07
69,ateroesclerosis_tuning105,100.0,0.02851,0.05603,0.89235,0.71735,0.41441,0.59809,0.35995,1.0146,2.8059,2.1671,1.2391e-07,1.2391e-07,1.2391e-07
