,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,ateroesclerosis_tuning183,50.0,0.0373,0.0923,0.91686,0.56913,0.39865,0.52722,0.33775,1.0048,3.1521,2.3583,8.7066e-08,8.7066e-08,8.7066e-08
132,ateroesclerosis_tuning134,50.0,0.04681,0.073,0.87905,0.4631,0.43806,0.48657,0.27847,1.0344,2.0219,2.2891,5.9318e-08,5.9318e-08,5.9318e-08
133,ateroesclerosis_tuning141,50.0,0.05593,0.059,0.97765,0.70524,0.36374,0.53838,0.33638,1.4327,2.1619,2.3023,8.1472e-08,8.1472e-08,8.1472e-08
134,ateroesclerosis_tuning55,50.0,0.04945,0.05427,0.95253,0.5218,0.44482,0.51666,0.30677,1.3704,1.8377,2.3659,9.8855e-08,9.8855e-08,9.8855e-08
135,ateroesclerosis_tuning152,50.0,0.03637,0.06128,0.97232,0.61652,0.47072,0.59012,0.33673,0.94912,2.138,2.3719,9.9054e-08,9.9054e-08,9.9054e-08
136,ateroesclerosis_tuning127,50.0,0.03665,0.05172,1.0946,0.60709,0.42455,0.56644,0.3427,1.0077,1.5527,2.6273,1.2183e-07,1.2183e-07,1.2183e-07
137,ateroesclerosis_tuning98,50.0,0.04055,0.06017,0.96007,0.53891,0.41329,0.50667,0.31525,1.1183,2.0825,2.3346,1.0725e-07,1.0725e-07,1.0725e-07
138,ateroesclerosis_tuning40,50.0,0.06688,0.06994,0.84734,0.61753,0.3491,0.52492,0.33804,1.9295,3.0173,1.9066,1.5188e-07,1.5188e-07,1.5188e-07
139,ateroesclerosis_tuning124,50.0,0.03784,0.05947,1.0472,0.86973,0.32095,0.52263,0.30201,1.0763,2.1102,2.5542,1.0765e-07,1.0765e-07,1.0765e-07
140,ateroesclerosis_tuning4,50.0,0.05938,0.07613,0.64642,0.72647,0.27815,0.52708,0.38859,1.8086,4.0494,1.4473,6.1041e-07,6.1041e-07,6.1041e-07
141,ateroesclerosis_tuning103,50.0,0.0366,0.07869,0.9424,0.55502,0.52252,0.56674,0.31383,1.0014,2.1132,2.5904,9.6657e-08,9.6657e-08,9.6657e-08
142,ateroesclerosis_tuning23,50.0,0.05444,0.07766,0.54157,0.69293,0.28716,0.51021,0.34583,1.7045,3.7361,1.2461,5.1103e-07,5.1103e-07,5.1103e-07
143,ateroesclerosis_tuning178,50.0,0.03473,0.06491,0.79351,0.72296,0.30968,0.46043,0.25777,0.82008,1.7876,2.2941,5.3623e-08,5.3623e-08,5.3623e-08
144,ateroesclerosis_tuning22,50.0,0.04233,0.03072,0.50837,0.68957,0.3277,0.53903,0.37763,1.2896,1.4535,1.1152,2.2583e-07,2.2583e-07,2.2583e-07
145,ateroesclerosis_tuning121,50.0,0.03921,0.06367,0.97294,0.72825,0.41554,0.56042,0.36066,1.0173,2.1874,2.2349,9.4859e-08,9.4859e-08,9.4859e-08
146,ateroesclerosis_tuning47,50.0,0.05099,0.05728,0.8887,0.54522,0.47523,0.55324,0.33378,1.2901,1.8314,2.1501,1.2143e-07,1.2143e-07,1.2143e-07
147,ateroesclerosis_tuning136,50.0,0.05038,0.05551,1.0366,0.54688,0.43356,0.51926,0.32154,1.3819,2.0859,2.5105,9.0063e-08,9.0063e-08,9.0063e-08
148,ateroesclerosis_tuning26,50.0,0.04869,0.06262,0.90975,0.73362,0.39077,0.57722,0.36039,1.6877,3.0446,2.1651,2.582e-07,2.582e-07,2.582e-07
149,ateroesclerosis_tuning126,50.0,0.03771,0.06771,0.82066,0.58491,0.41892,0.53074,0.30748,1.0511,2.3175,2.1823,1.1324e-07,1.1324e-07,1.1324e-07
150,ateroesclerosis_tuning114,50.0,0.03315,0.06607,0.92549,0.53237,0.41667,0.51646,0.30092,0.96174,2.3711,2.278,9.7056e-08,9.7056e-08,9.7056e-08
151,ateroesclerosis_tuning177,50.0,0.03469,0.05161,0.97424,0.57317,0.42342,0.54677,0.31153,0.94916,1.8031,2.4455,1.0685e-07,1.0685e-07,1.0685e-07
152,ateroesclerosis_tuning6,50.0,0.05272,0.07501,0.66334,0.72665,0.35923,0.56779,0.38062,1.5977,3.5572,1.4716,4.2641e-07,4.2641e-07,4.2641e-07
153,ateroesclerosis_tuning84,50.0,0.03608,0.05891,0.93302,0.52843,0.42905,0.51524,0.30516,0.98334,2.1043,2.1194,1.1004e-07,1.1004e-07,1.1004e-07
154,ateroesclerosis_tuning163,50.0,0.03968,0.0619,0.97371,0.75116,0.33221,0.51022,0.27357,1.1588,2.2755,2.5039,1.0964e-07,1.0964e-07,1.0964e-07
155,ateroesclerosis_tuning111,50.0,0.03954,0.04568,1.0336,0.66193,0.29767,0.43541,0.26023,1.1915,1.7009,2.5894,9.4859e-08,9.4859e-08,9.4859e-08
156,ateroesclerosis_tuning51,50.0,0.04989,0.0575,0.97378,0.77693,0.40398,0.5701,0.33247,1.4137,1.9576,2.561,1.0185e-07,1.0185e-07,1.0185e-07
157,ateroesclerosis_tuning166,50.0,0.03894,0.06125,0.99084,0.63432,0.50788,0.60219,0.30958,1.0197,2.1494,2.2738,1.0725e-07,1.0725e-07,1.0725e-07
158,ateroesclerosis_tuning107,50.0,0.03066,0.08033,0.781,0.57651,0.36486,0.50626,0.329,0.81587,3.0653,1.8556,1.0465e-07,1.0465e-07,1.0465e-07
159,ateroesclerosis_tuning131,50.0,0.04207,0.06521,0.96592,0.58788,0.43694,0.55233,0.34531,1.1187,2.0248,2.4912,1.0665e-07,1.0665e-07,1.0665e-07
160,ateroesclerosis_tuning11,50.0,0.05833,0.10749,0.60396,0.59024,0.27252,0.46566,0.33167,1.8903,6.0504,1.3735,6.7682e-07,6.7682e-07,6.7682e-07
161,ateroesclerosis_tuning197,50.0,0.03541,0.06852,0.95518,0.61419,0.39977,0.52875,0.28319,0.99568,2.3286,2.6581,1.0725e-07,1.0725e-07,1.0725e-07
162,ateroesclerosis_tuning110,50.0,0.06482,0.06162,0.83764,0.65058,0.50113,0.60901,0.36007,1.7615,1.8598,2.1248,8.327e-08,8.327e-08,8.327e-08
163,ateroesclerosis_tuning57,50.0,0.04993,0.05933,0.97555,0.5972,0.38401,0.53708,0.3281,1.4751,2.2101,2.495,9.6657e-08,9.6657e-08,9.6657e-08
164,ateroesclerosis_tuning171,50.0,0.05035,0.0587,0.63225,0.77227,0.36261,0.54497,0.33586,1.3357,1.9616,1.5711,1.1903e-07,1.1903e-07,1.1903e-07
165,ateroesclerosis_tuning179,50.0,0.04016,0.05443,0.92493,0.60889,0.46284,0.57993,0.36721,1.1129,1.732,2.3075,1.0705e-07,1.0705e-07,1.0705e-07
166,ateroesclerosis_tuning35,50.0,0.05097,0.06648,0.99952,0.70099,0.39865,0.5925,0.34555,1.5492,2.764,2.3161,1.9531e-07,1.9531e-07,1.9531e-07
167,ateroesclerosis_tuning165,50.0,0.03973,0.05657,0.98655,0.59365,0.39977,0.53491,0.33869,0.96342,2.0793,2.1871,1.0725e-07,1.0725e-07,1.0725e-07
168,ateroesclerosis_tuning94,50.0,0.06069,0.06006,1.161,0.51002,0.37275,0.48304,0.30462,1.5897,2.2311,2.715,8.8065e-08,8.8065e-08,8.8065e-08
169,ateroesclerosis_tuning67,50.0,0.04956,0.05732,0.98814,0.58094,0.43243,0.55004,0.30786,1.447,2.2029,2.3344,9.8855e-08,9.8855e-08,9.8855e-08
170,ateroesclerosis_tuning128,50.0,0.03555,0.07459,0.94309,0.61939,0.48198,0.58494,0.35899,1.0128,2.4028,2.3515,9.7056e-08,9.7056e-08,9.7056e-08
171,ateroesclerosis_tuning81,50.0,0.04445,0.06129,0.95009,0.67465,0.44369,0.57733,0.31717,0.94927,1.6391,2.2456,5.0226e-08,5.0226e-08,5.0226e-08
172,ateroesclerosis_tuning151,50.0,0.03839,0.06446,0.96506,0.53357,0.34009,0.48005,0.31459,1.0305,2.202,2.4049,1.1204e-07,1.1204e-07,1.1204e-07
173,ateroesclerosis_tuning147,50.0,0.03617,0.07533,0.85784,0.55594,0.36374,0.48881,0.29461,1.0725,2.6633,2.3428,9.4459e-08,9.4459e-08,9.4459e-08
174,ateroesclerosis_tuning109,50.0,0.04768,0.06199,0.97649,0.86444,0.38964,0.58058,0.31098,1.3688,1.8733,2.503,1.1284e-07,1.1284e-07,1.1284e-07
175,ateroesclerosis_tuning180,50.0,0.03572,0.07762,0.95411,0.61765,0.52027,0.5984,0.33945,0.95249,2.2591,2.3917,9.4859e-08,9.4859e-08,9.4859e-08
176,ateroesclerosis_tuning60,50.0,0.05447,0.05236,0.91749,0.53219,0.45608,0.54921,0.33833,1.455,1.764,2.1366,9.9054e-08,9.9054e-08,9.9054e-08
177,ateroesclerosis_tuning174,50.0,0.05461,0.05759,0.89004,0.67658,0.40991,0.59113,0.36535,1.5758,2.2389,2.0014,1.4528e-07,1.4528e-07,1.4528e-07
178,ateroesclerosis_tuning69,50.0,0.0651,0.06171,0.97736,0.5156,0.31644,0.46306,0.34457,1.7609,2.4367,2.332,7.9674e-08,7.9674e-08,7.9674e-08
179,ateroesclerosis_tuning50,50.0,0.04308,0.0497,0.77044,0.56836,0.41667,0.54105,0.33523,1.1433,1.65,1.8049,1.3702e-07,1.3702e-07,1.3702e-07
180,ateroesclerosis_tuning185,50.0,0.03944,0.07006,0.97303,0.56224,0.46284,0.55801,0.34369,1.0548,2.0546,2.3988,1.0265e-07,1.0265e-07,1.0265e-07
181,ateroesclerosis_tuning156,50.0,0.03796,0.06078,0.97326,0.82111,0.37216,0.54822,0.31885,1.0793,2.1634,2.3866,1.0685e-07,1.0685e-07,1.0685e-07
