fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.37241,6e-05,0.00323,0.7,0.00042,4.64628,0.32986,5.91028,0.39439,1.69256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27733,6e-05,0.00438,0.71472,0.00046,3.8577,0.35226,5.98255,0.47569,1.43373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3327,6e-05,0.00278,0.7,0.00045,4.29669,0.3606,5.5347,0.2,1.03544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29303,7e-05,0.00632,0.7131,0.00049,4.11557,0.50532,6.88484,0.49345,1.10217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40181,6e-05,0.00332,0.7,0.00043,4.64628,0.31701,5.73373,0.41449,1.67977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28396,6e-05,0.00457,0.7193,0.0004,4.57724,0.42339,5.98255,0.47196,1.39121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38773,6e-05,0.00332,0.7,0.00039,3.92994,0.31206,6.3822,0.41449,1.85688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2653,7e-05,0.00312,0.74167,0.0004,4.24422,0.31206,5.81809,0.43117,1.99733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31506,6e-05,0.00293,0.7,0.00043,5.0,0.32085,4.02027,0.37755,1.67977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34683,6e-05,0.00325,0.71161,0.00039,3.77947,0.31346,6.51407,0.46279,1.85688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3667,4e-05,0.00407,0.7,0.00039,3.92994,0.29812,6.3822,0.36475,1.78834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
